semester,group,family,mean_abs_shap,mean_shap
0,Underperforming,Pre-academic,0.3019531477747393,-0.245756830660146
0,Underperforming,Demographic,0.13155798930891635,-0.04602176777337338
0,Average,Pre-academic,0.17749806797429327,0.023732425019468394
0,Average,Demographic,0.14551543720988386,0.12403630533370569
0,Performing,Pre-academic,0.22352952205237867,0.12969674180149718
0,Performing,Demographic,0.13066570371755445,0.06532081014711362
1,Underperforming,Pre-academic,0.07846149134433164,-0.06537070253556146
1,Underperforming,Semester GPA,0.30581952645981225,-0.2724952949195518
1,Underperforming,Demographic,0.06781284917805801,-0.021431901336898884
1,Average,Pre-academic,0.0472766657651987,0.006926790247216774
1,Average,Semester GPA,0.17199538007027138,0.056560353817641025
1,Average,Demographic,0.05578896080671679,0.02846256497805953
1,Performing,Pre-academic,0.05364478575280712,0.026955481603397467
1,Performing,Semester GPA,0.3221725633015531,0.3121737006491224
1,Performing,Demographic,0.06292718813100795,0.03331007145156375
2,Underperforming,Pre-academic,0.08584335670621733,-0.0706219676361855
2,Underperforming,Semester GPA,0.16428858024180726,-0.06923256939480725
2,Underperforming,Module grade,0.015059249772790268,-0.013288456206760876
2,Underperforming,Demographic,0.05374227807840151,-0.006964449305096885
2,Average,Pre-academic,0.049137973578183794,0.006506443551283832
2,Average,Semester GPA,0.19958912175311233,0.18536402003402352
2,Average,Module grade,0.01693798723985686,-0.016223796465253397
2,Average,Demographic,0.045442557015653605,0.029720917889941013
2,Performing,Pre-academic,0.06025103265614191,0.031771466992717004
2,Performing,Semester GPA,0.4753395891554789,0.4753395891554789
2,Performing,Module grade,0.016053325490180473,-0.014605999722591426
2,Performing,Demographic,0.05483750559411135,0.023151184234143564
3,Underperforming,Pre-academic,0.02206569291847013,-0.014781570369960717
3,Underperforming,Semester GPA,0.3337460744779776,-0.33042786935022
3,Underperforming,Module grade,0.03633093844503049,-0.028157340048610993
3,Underperforming,Demographic,0.0541366370723097,-0.0006885925388533838
3,Average,Pre-academic,0.016762394448541988,0.0025964418113834076
3,Average,Semester GPA,0.1193145823130086,0.026277578619247465
3,Average,Module grade,0.04139213990057956,-0.040547466186310305
3,Average,Demographic,0.040736679254781354,0.01829681448928613
3,Performing,Pre-academic,0.0216200210643254,0.015369049973528646
3,Performing,Semester GPA,0.45841569240873636,0.4575997804820278
3,Performing,Module grade,0.05766086871864964,-0.05766086871864964
3,Performing,Demographic,0.0445152737179086,0.016853841832962423
4,Underperforming,Pre-academic,0.02201929241929777,-0.014615434089156968
4,Underperforming,Semester GPA,0.42203697444150307,-0.4207695689852162
4,Underperforming,Module grade,0.03177673214323504,-0.024152197129840704
4,Underperforming,Demographic,0.03089222111773729,-0.001621932844464561
4,Average,Pre-academic,0.01602287951321191,0.002363238510123869
4,Average,Semester GPA,0.12080737667109788,-0.049996425136989674
4,Average,Module grade,0.03253729113986287,-0.031226861772373035
4,Average,Demographic,0.022357324772734354,0.0011340534896371324
4,Performing,Pre-academic,0.021630814300085968,0.015713946179072576
4,Performing,Semester GPA,0.39725751752890903,0.39331064707993896
4,Performing,Module grade,0.04197960333142189,-0.041933757162726265
4,Performing,Demographic,0.021864918705360142,0.009607767277621707
5,Underperforming,Pre-academic,0.03238115806491168,-0.02695871851273578
5,Underperforming,Semester GPA,0.4339483630097382,-0.4339483630097382
5,Underperforming,Module grade,0.025162213498767103,0.021304717991242315
5,Underperforming,Demographic,0.03232770284246576,0.002714621472642224
5,Average,Pre-academic,0.020464109608392834,0.003231589012969243
5,Average,Semester GPA,0.1079747056508193,-0.048793071106102495
5,Average,Module grade,0.014534256841642983,0.012914379069851462
5,Average,Demographic,0.027011900639098974,-0.010344627507321992
5,Performing,Pre-academic,0.02281620985598861,0.01228255082050323
5,Performing,Semester GPA,0.4044272693702148,0.4025011055784791
5,Performing,Module grade,0.00947218151673102,-0.002534798444283296
5,Performing,Demographic,0.017680508666792598,0.0012699425470631565
6,Underperforming,Pre-academic,0.02852905542937265,-0.02334306564462238
6,Underperforming,Semester GPA,0.5530693353809855,-0.5530693353809855
6,Underperforming,Module grade,0.016408874173906813,0.015029074146426196
6,Underperforming,Demographic,0.016537711065909576,0.00042704987197153657
6,Average,Pre-academic,0.01825116876769333,0.002777446804897044
6,Average,Semester GPA,0.15833456606501062,-0.1508061090852783
6,Average,Module grade,0.013379790956450241,0.013379790956450241
6,Average,Demographic,0.016334475537145798,-0.004501111113670635
6,Performing,Pre-academic,0.021705547981317023,0.013023952410223121
6,Performing,Semester GPA,0.3306277449676894,0.3252581744499052
6,Performing,Module grade,0.010607309757834684,0.009534427826652826
6,Performing,Demographic,0.012045829608719355,0.0005892397880934912
