semester,family,mean_abs_shap,mean_shap
0,Pre-academic,0.23436360151316393,0.011156873436572623
0,Demographic,0.13392978748687656,0.048582880453065976
1,Pre-academic,0.05874808311229145,-0.0009625136127578799
1,Semester GPA,0.28727106474675584,0.1090692976013124
1,Demographic,0.06272965636721947,0.01819275994705101
2,Pre-academic,0.06447600081784692,0.00034532714691565806
2,Semester GPA,0.3457276959366389,0.28201950810401444
2,Module grade,0.028172322198151724,-0.027351487294382828
2,Demographic,0.05276503975937792,0.017169252791900746
3,Pre-academic,0.01174981431234404,0.0037802044383225654
3,Semester GPA,0.35259146449271955,0.17002401904292674
3,Module grade,0.0461048033892244,-0.03684285689160631
3,Demographic,0.0422779884069994,0.013166423871730372
4,Pre-academic,0.019421997431511778,0.005202514463743872
4,Semester GPA,0.34870346480907166,0.09609036207951344
4,Module grade,0.0366731928586192,-0.03416858533069411
4,Demographic,0.02398738265344949,0.0053183113419994245
5,Pre-academic,0.02504139297022672,0.0007532399901404546
5,Semester GPA,0.3597959179440984,0.10441988456977568
5,Module grade,0.025697480866172743,-0.0003376413727193052
5,Demographic,0.022266554156489246,-0.0008797036461467421
6,Pre-academic,0.024991239408159695,0.002049409909850161
6,Semester GPA,0.36006294805579725,0.010068776067626455
6,Module grade,0.01252515295962823,0.0030633760567605898
6,Demographic,0.014122850566215123,-0.0010978285542160011
