feature,raw_feature,mean_abs_shap,mean_shap,semester,family
Zscore,numeric__Zscore,0.06969931889528785,0.02123254389325306,0,Pre-academic
English,numeric__English,0.18287303101318916,-0.0105344860391055,0,Pre-academic
Missing: English,numeric__missingindicator_English,0.0008706657902712123,0.00045881558242507855,0,Pre-academic
Gender_M,categorical__Gender_M,0.09262628300602412,0.0037382804800637623,0,Demographic
Department_BPM,categorical__Department_BPM,0.09070116118330673,0.02223413678812578,0,Demographic
Department_FSM,categorical__Department_FSM,0.0017747742546709365,0.00031598725294282,0,Demographic
District_Badulla,categorical__District_Badulla,0.01695615653447136,-0.005606471112204239,0,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.00137520481690359,-0.00019104847894405315,0,Demographic
District_Colombo,categorical__District_Colombo,0.03636195719459669,-0.005944354948706618,0,Demographic
District_Galle,categorical__District_Galle,0.012809861916880749,0.002044684644304294,0,Demographic
District_Gampaha,categorical__District_Gampaha,0.05280191801422425,0.01879390302201202,0,Demographic
District_Kalutara,categorical__District_Kalutara,0.04415750247731611,0.015078171577620137,0,Demographic
District_Kandy,categorical__District_Kandy,0.01734005395972898,-0.0015185790636829846,0,Demographic
District_Kegalle,categorical__District_Kegalle,0.014089085809130207,0.003236681875070456,0,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.012124912799265319,-0.001061855907063972,0,Demographic
District_Matara,categorical__District_Matara,0.011628156282070925,-0.0027079268054137767,0,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.004384945141764654,-0.001998202849411742,0,Demographic
District_Puttalam,categorical__District_Puttalam,0.006496666759304595,-0.002960506371328675,0,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.002217505894519146,-9.700524634504359e-05,0,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.039985613748107926,0.0014910550581185766,0,Demographic
MediumAL_S,categorical__MediumAL_S,0.052865634829501934,0.0027927165757938984,0,Demographic
MediumAL_T,categorical__MediumAL_T,0.03343169487942161,0.0009432139621153441,0,Demographic
Zscore,numeric__Zscore,0.01072354583384731,0.003266719979725187,1,Pre-academic
English,numeric__English,0.05057815574530759,-0.0029135781948308108,1,Pre-academic
S1,numeric__S1,0.28727106474675584,0.1090692976013124,1,Semester GPA
Missing: English,numeric__missingindicator_English,0.0024966374081432543,-0.0013156553976522555,1,Pre-academic
Gender_M,categorical__Gender_M,0.020056569301112534,0.0008094579538565591,1,Demographic
Department_BPM,categorical__Department_BPM,0.023475755446667208,0.005754757171751107,1,Demographic
Department_FSM,categorical__Department_FSM,0.011435203803482697,0.0020359652092055754,1,Demographic
District_Badulla,categorical__District_Badulla,0.007022828041408514,-0.002322064110465718,1,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0011193537331146803,-0.00015550471135886065,1,Demographic
District_Colombo,categorical__District_Colombo,0.0033868239978071773,0.0005536688766234808,1,Demographic
District_Galle,categorical__District_Galle,0.0034286429096146262,-0.0005472731520121569,1,Demographic
District_Gampaha,categorical__District_Gampaha,0.026341164430286727,0.009375668695525783,1,Demographic
District_Kalutara,categorical__District_Kalutara,0.011965605149036712,0.004085816392354,1,Demographic
District_Kandy,categorical__District_Kandy,0.002104134820924546,0.0001842724995921697,1,Demographic
District_Kegalle,categorical__District_Kegalle,0.014288513727222365,0.0032824963967943285,1,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0053498219118084745,-0.00046851800856978503,1,Demographic
District_Matara,categorical__District_Matara,0.005151998074651539,-0.0011997803735489885,1,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.003533248341905014,-0.0016100878520073484,1,Demographic
District_Puttalam,categorical__District_Puttalam,0.0031288188609516357,-0.0014257908733450485,1,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.003710425078180839,-0.00016231329965948394,1,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.001359905809642304,-5.071059928717333e-05,1,Demographic
MediumAL_S,categorical__MediumAL_S,0.00465732159767678,-0.0002460308907021105,1,Demographic
MediumAL_T,categorical__MediumAL_T,0.010588340946132459,0.0002987306223046772,1,Demographic
Zscore,numeric__Zscore,0.011918588139523992,0.0036307664096149024,2,Pre-academic
English,numeric__English,0.056015215627768296,-0.0032267825591278726,2,Pre-academic
S1,numeric__S1,0.12434836839788933,0.04721181790788133,2,Semester GPA
S2,numeric__S2,0.2656155807025556,0.2348076901961331,2,Semester GPA
Maths 2,numeric__Maths 2,0.03601294337402388,-0.035463099709319844,2,Module grade
MgtAccounting,numeric__MgtAccounting,0.01020342594112061,0.008111612414937,2,Module grade
