feature,raw_feature,mean_abs_shap,mean_shap,semester,family
Zscore,numeric__Zscore,0.06044315048757346,0.02143824894528243,0,Pre-academic
English,numeric__English,0.18247489259222122,0.007704235819424855,0,Pre-academic
Missing: English,numeric__missingindicator_English,0.00076419199929857,0.0002330514607789954,0,Pre-academic
Gender_F,categorical__Gender_F,0.048200719798984534,0.003395639274607738,0,Demographic
Gender_M,categorical__Gender_M,0.04820071979898441,0.003395639274607731,0,Demographic
Department_BA,categorical__Department_BA,0.03532940375051895,0.012965259630842389,0,Demographic
Department_BPM,categorical__Department_BPM,0.05931268906964464,0.014316855982327991,0,Demographic
Department_FSM,categorical__Department_FSM,0.014874501754015265,-0.0038051050998643724,0,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.024591662448685082,0.001937524920199419,0,Demographic
District_Badulla,categorical__District_Badulla,0.00650121660224666,-0.0007223574002496301,0,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.002147325227872919,0.0006642804661765147,0,Demographic
District_Colombo,categorical__District_Colombo,0.0021764264983197405,-0.00048320167773456194,0,Demographic
District_Galle,categorical__District_Galle,0.004005110705420217,0.0011817482855779285,0,Demographic
District_Gampaha,categorical__District_Gampaha,0.02636221492594423,0.014657083469049845,0,Demographic
District_Kalutara,categorical__District_Kalutara,0.02701124738739558,0.008811155564872348,0,Demographic
District_Kandy,categorical__District_Kandy,0.008434166979244252,-0.0006645101256374275,0,Demographic
District_Kegalle,categorical__District_Kegalle,0.017522720161664566,0.0029642288924443248,0,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0029492047993909046,0.00011159153294992502,0,Demographic
District_Matara,categorical__District_Matara,0.005634816082544897,-0.0025119059645079675,0,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.000515694802221857,1.8899809505513196e-05,0,Demographic
District_Puttalam,categorical__District_Puttalam,0.002755682744748001,-0.0008403855179018736,0,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.011634275807022209,0.0020200171181423195,0,Demographic
District_infrequent_sklearn,categorical__District_infrequent_sklearn,0.016352751332804474,-0.0005897713595437659,0,Demographic
MediumAL_E,categorical__MediumAL_E,0.018750916251942116,0.006397371427133186,0,Demographic
MediumAL_S,categorical__MediumAL_S,0.01835478397466121,0.0008397613583178352,0,Demographic
MediumAL_T,categorical__MediumAL_T,0.018853481549003234,0.0025689501417810374,0,Demographic
Zscore,numeric__Zscore,0.010035020019974436,0.0035592661140873925,1,Pre-academic
English,numeric__English,0.05146805044250478,0.0021730222286592757,1,Pre-academic
S1,numeric__S1,0.30059885111944895,0.15418242642544105,1,Semester GPA
Missing: English,numeric__missingindicator_English,0.0016912219190922135,-0.0005157627129146465,1,Pre-academic
Gender_F,categorical__Gender_F,0.010680856483806412,0.0007524438621272591,1,Demographic
Gender_M,categorical__Gender_M,0.010680856483806414,0.0007524438621272572,1,Demographic
Department_BA,categorical__Department_BA,0.016703074178726216,0.006129729640773356,1,Demographic
Department_BPM,categorical__Department_BPM,0.009038757716678492,0.0021817691040258427,1,Demographic
Department_FSM,categorical__Department_FSM,0.003874881227566034,0.0009912486861215432,1,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.0030535670866339397,0.00024058407349237087,1,Demographic
District_Badulla,categorical__District_Badulla,0.004630993846112597,-0.0005145548717902891,1,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.000878461870315322,-0.00027175439153639405,1,Demographic
District_Colombo,categorical__District_Colombo,0.007693476143827644,0.0017080754085554253,1,Demographic
District_Galle,categorical__District_Galle,0.003980829971051434,-0.0011745840101500238,1,Demographic
District_Gampaha,categorical__District_Gampaha,0.02141119636977985,0.011904375002087932,1,Demographic
District_Kalutara,categorical__District_Kalutara,0.01005046975935876,0.0032784954829993868,1,Demographic
District_Kandy,categorical__District_Kandy,0.003023611530115023,0.00023822393873633517,1,Demographic
District_Kegalle,categorical__District_Kegalle,0.013833125946401507,0.0023400791215540105,1,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0038376288863101343,0.00014520757948200603,1,Demographic
District_Matara,categorical__District_Matara,0.005747140588504847,-0.0025619783346346936,1,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0016713625353541467,6.12541243323507e-05,1,Demographic
District_Puttalam,categorical__District_Puttalam,0.002206066356360561,-0.0006727720093865524,1,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.005639840388713539,0.0009792250345238911,1,Demographic
District_infrequent_sklearn,categorical__District_infrequent_sklearn,0.004326706040926429,0.00015604513590226552,1,Demographic
MediumAL_E,categorical__MediumAL_E,0.0021961669626189297,0.0007492804931288106,1,Demographic
MediumAL_S,categorical__MediumAL_S,0.008343131549396084,-0.0003817119009527638,1,Demographic
MediumAL_T,categorical__MediumAL_T,0.00963207952360036,0.0013124542537931258,1,Demographic
Zscore,numeric__Zscore,0.011100459410801003,0.003937160957628777,2,Pre-academic
English,numeric__English,0.05708842699154894,0.0024103190189884824,2,Pre-academic
S1,numeric__S1,0.12850987655415386,0.06591497110838873,2,Semester GPA
S2,numeric__S2,0.295632161461708,0.273532107693553,2,Semester GPA
Maths 2,numeric__Maths 2,0.040812473697984956,-0.040424035704753,2,Module grade
MgtAccounting,numeric__MgtAccounting,0.010772848922971973,0.009023882380805552,2,Module grade
Missing: English,numeric__missingindicator_English,4.51374025759447e-05,-1.3765307168550523e-05,2,Pre-academic
Gender_F,categorical__Gender_F,0.00777454441429157,0.000547700292971699,2,Demographic
Gender_M,categorical__Gender_M,0.007774544414291041,0.0005477002929716618,2,Demographic
Department_BA,categorical__Department_BA,0.02071284788490822,0.007601244912547796,2,Demographic
Department_BPM,categorical__Department_BPM,0.01319718877583089,-0.003185528325200566,2,Demographic
Department_FSM,categorical__Department_FSM,0.018813321514572677,0.00481271015489069,2,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.003785261182723397,0.0002982326992448751,2,Demographic
District_Badulla,categorical__District_Badulla,0.0016060068669367896,-0.00017844520743742138,2,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0037618849437133454,-0.001163748579709886,2,Demographic
District_Colombo,categorical__District_Colombo,0.01195123139073812,0.0026533655344928857,2,Demographic
District_Galle,categorical__District_Galle,0.0021316973557568676,-0.0006289787925530947,2,Demographic
District_Gampaha,categorical__District_Gampaha,0.019304726061471957,0.01073320212375897,2,Demographic
District_Kalutara,categorical__District_Kalutara,0.008210495293282896,0.002678289908504046,2,Demographic
District_Kandy,categorical__District_Kandy,0.005553867042575144,0.00043757740335440416,2,Demographic
District_Kegalle,categorical__District_Kegalle,0.005437089137901178,0.0009197645436706458,2,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.002674683678767168,-0.00010120424730470454,2,Demographic
District_Matara,categorical__District_Matara,0.005612743714592806,-0.002502066475179924,2,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0004022259099330651,1.474126371482414e-05,2,Demographic
District_Puttalam,categorical__District_Puttalam,0.0014694506521346882,-0.0004481303407219256,2,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.0010336542176722472,0.00017946963339803796,2,Demographic
District_infrequent_sklearn,categorical__District_infrequent_sklearn,0.005414002196198614,0.00019525909560060651,2,Demographic
MediumAL_E,categorical__MediumAL_E,0.0019982306298604612,0.0006817492737170986,2,Demographic
MediumAL_S,categorical__MediumAL_S,0.005326370828653587,-0.00024369016863121074,2,Demographic
MediumAL_T,categorical__MediumAL_T,0.007161568364965347,0.0009758257125472405,2,Demographic
