semester,feature,raw_feature,family,underperforming_mean_shap,underperforming_mean_abs_shap,other_students_mean_shap,difference_under_minus_other,difference_ci_lower,difference_ci_upper,consistent_negative_signal
0,Zscore,numeric__Zscore,Pre-academic,-0.03464404051012043,0.0699799456861828,0.04572794462686618,-0.08037198513698661,-0.12555340104326346,-0.039132332677777104,True
0,English,numeric__English,Pre-academic,-0.18973881611778154,0.23756887658496173,0.07645148108998935,-0.2661902972077709,-0.34838768950695953,-0.1814486967766644,True
0,Gender_M,categorical__Gender_M,Demographic,-0.042000649273653407,0.10207134532783209,0.023470534713757093,-0.0654711839874105,-0.10687728413079986,-0.021587795801254278,True
0,District_Gampaha,categorical__District_Gampaha,Demographic,-0.012998589817031172,0.012998589817031172,0.04037726208865239,-0.05337585190568356,-0.07535414386684737,-0.03139755994451973,True
0,District_Kandy,categorical__District_Kandy,Demographic,-0.009688887584219333,0.009688887584219333,0.0015446052670494586,-0.011233492851268791,-0.02246698570253758,-0.002808373212817198,True
0,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.005419910104241909,0.005419910104241909,0.0024350320758188275,-0.007854942180060737,-0.01570988436012147,-0.0019637355450151848,True
0,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,-0.0011420978161169094,0.0011420978161169094,0.0005131164101394814,-0.0016552142262563907,-0.004965642678769173,-4.336808689942018e-19,True
0,District_Puttalam,categorical__District_Puttalam,Demographic,-0.0033842288457251,0.0033842288457251,-0.0009318891024460411,-0.002452339743279059,-0.007357019229837176,-8.673617379884035e-19,True
1,Zscore,numeric__Zscore,Pre-academic,-0.005330137541775248,0.010766721496135877,0.007035444791512625,-0.012365582333287873,-0.019113625218031255,-0.005815465278441704,True
1,English,numeric__English,Pre-academic,-0.052477062032417844,0.06570567334931582,0.021144588111792307,-0.07362165014421015,-0.09601995538535267,-0.04942755587156177,True
1,S1,numeric__S1,Semester GPA,-0.22632424020586428,0.2750388233173539,0.287958471452692,-0.5142827116585562,-0.6137991877797156,-0.41292745900488875,True
1,Gender_M,categorical__Gender_M,Demographic,-0.009094491385279539,0.02210172906422585,0.0050821256207595105,-0.01417661700603905,-0.023218999745026114,-0.004674452093883147,True
1,District_Gampaha,categorical__District_Gampaha,Demographic,-0.006484574890632335,0.006484574890632335,0.020142906544331356,-0.02662748143496369,-0.03759173849641933,-0.015663224373508054,True
1,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.002391403081881302,0.002391403081881302,0.0010743984860626136,-0.0034658015679439155,-0.006931603135887832,-0.0008664503919859786,True
1,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.0007183554119219012,0.0019550178932051746,0.0003194447841678021,-0.0010378001960897032,-0.002105251826353398,-2.965143417399155e-05,True
2,Zscore,numeric__Zscore,Pre-academic,-0.005924133217850204,0.011966575339321684,0.007819481554667275,-0.013743614772517478,-0.021374962271479662,-0.006650497110127504,True
2,English,numeric__English,Pre-academic,-0.05811825089194524,0.07276891389957628,0.023417592930961732,-0.08153584382290698,-0.10708832624394977,-0.05519505442473482,True
2,S1,numeric__S1,Semester GPA,-0.09796688024706136,0.11905351120461076,0.12464591977983697,-0.22261280002689832,-0.2668897661701246,-0.178428847203441,True
2,Gender_M,categorical__Gender_M,Demographic,-0.006410981064848834,0.015580174913411696,0.0035825435138251956,-0.009993524578674029,-0.01625973458476153,-0.0029696973714195035,True
2,District_Gampaha,categorical__District_Gampaha,Demographic,-0.006063276213673843,0.006063276213673843,0.01883423480865836,-0.024897511022332203,-0.035149427325645466,-0.014645594719018943,True
2,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,-0.00032696316745161913,0.00032696316745161913,0.0001468964955217419,-0.00047385966297336103,-0.0014215789889200834,-1.0842021724855044e-19,True
3,Zscore,numeric__Zscore,Pre-academic,-0.00617846787257595,0.012480323881978608,0.00815518722977739,-0.014333655102353338,-0.02208264506982143,-0.006937490441120563,True
3,S1,numeric__S1,Semester GPA,-0.08535849949302084,0.10373127173360147,0.10860393485535615,-0.19396243434837698,-0.23180842230205317,-0.15447657079189206,True
3,S3,numeric__S3,Semester GPA,-0.22509266439557193,0.22509266439557193,0.09303730447470979,-0.3181299688702817,-0.3718555778866309,-0.26696827083074154,True
3,MIS,numeric__MIS,Module grade,-0.00936296225033596,0.00936296225033596,-0.0007163035725821353,-0.008646658677753823,-0.010780993450709314,-0.006532886398342667,True
3,Missing: StatsII,numeric__missingindicator_StatsII,Module grade,-0.050494971287545785,0.0690219031988036,0.009918937118729671,-0.06041390840627546,-0.09990012305089994,-0.020927693761650976,True
3,Gender_M,categorical__Gender_M,Demographic,-0.0008920358197670986,0.0021678544922246923,0.0004984817624448428,-0.0013905175822119414,-0.0022699259990703042,-0.00045849498656718064,True
3,District_Gampaha,categorical__District_Gampaha,Demographic,-0.002813696359001977,0.002813696359001977,0.008740129269750107,-0.011553825628752084,-0.016311283240591178,-0.006796368016912991,True
3,District_Kurunegala,categorical__District_Kurunegala,Demographic,-0.0013646051602171055,0.0013646051602171055,0.0006130834777786995,-0.001977688637995805,-0.00395537727599161,-0.0004944221594989513,True
3,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.006197553793036085,0.016866760322819727,0.0027559842954172587,-0.008953538088453344,-0.0181628915508625,-0.00034108716527441336,True
