semester,feature,raw_feature,family,underperforming_mean_shap,underperforming_mean_abs_shap,other_students_mean_shap,difference_under_minus_other,difference_ci_lower,difference_ci_upper,bootstrap_p,q_value,consistent_negative_signal
0,Zscore,numeric__Zscore,Pre-academic,-0.02247606799900384,0.0448519211223126,0.010153169581888768,-0.03262923758089261,-0.05426758798057402,-0.012173685485390514,0.0004,0.0029333333333333334,True
0,English,numeric__English,Pre-academic,-0.15143957611172643,0.20474868310923305,0.05039941693002062,-0.20183899304174704,-0.2695702748335675,-0.13580333802080513,0.0002,0.0022,True
1,English,numeric__English,Pre-academic,-0.039126309949504556,0.05395634712155332,0.014654408224933892,-0.05378071817443845,-0.07166606695989831,-0.035650830038022475,0.0002,0.0023,True
1,S1,numeric__S1,Semester GPA,-0.38925234172093154,0.39079397622190787,0.13535676534180907,-0.5246091070627406,-0.5969050702252054,-0.45009318498431145,0.0002,0.0023,True
2,Zscore,numeric__Zscore,Pre-academic,-0.008710200456085438,0.012906362748093326,0.0021911093702119966,-0.010901309826297435,-0.018649066571459,-0.004093308797753797,0.0016,0.005942857142857144,True
2,English,numeric__English,Pre-academic,-0.043919843053098116,0.059942722837641266,0.01690759891315134,-0.06082744196624945,-0.08136027111886932,-0.04124642297814397,0.0002,0.0008666666666666667,True
2,S1,numeric__S1,Semester GPA,-0.16967316121738135,0.17052416828174496,0.05818095431213485,-0.2278541155295162,-0.25955891752824684,-0.19498663030590507,0.0002,0.0008666666666666667,True
2,S2,numeric__S2,Semester GPA,-0.30581693366427104,0.31928133274342996,0.10913068271892441,-0.41494761638319544,-0.4751791718199788,-0.3530756120624888,0.0002,0.0008666666666666667,True
2,MgtAccounting,numeric__MgtAccounting,Module grade,-0.010825020245170215,0.016727971617629137,0.003534203535555088,-0.014359223780725303,-0.02087874967918314,-0.008565343699962381,0.0002,0.0008666666666666667,True
3,Zscore,numeric__Zscore,Pre-academic,-0.00982489012417784,0.013849627692386624,0.0019627158401807447,-0.011787605964358584,-0.019937895895431528,-0.004709943978076611,0.0002,0.0007750000000000001,True
3,S1,numeric__S1,Semester GPA,-0.1467122750215543,0.147455790992439,0.04785493192919249,-0.19456720695074678,-0.22425169553942456,-0.16455969985043195,0.0002,0.0007750000000000001,True
3,S2,numeric__S2,Semester GPA,-0.17368785791962124,0.18113966240968918,0.06294134069202635,-0.2366291986116476,-0.271551320219259,-0.20170761706375756,0.0002,0.0007750000000000001,True
3,S3,numeric__S3,Semester GPA,-0.2200087606782743,0.23057377243192495,0.08149849399577731,-0.3015072546740516,-0.34156725053323483,-0.2593502089591799,0.0002,0.0007750000000000001,True
3,MgtAccounting,numeric__MgtAccounting,Module grade,-0.0055623279549474915,0.011978319790321273,0.003001588285152469,-0.00856391624009996,-0.013019838934283514,-0.004118280133011058,0.0002,0.0007750000000000001,True
4,Zscore,numeric__Zscore,Pre-academic,-0.007375756090442427,0.013866915112613652,0.002912527225322804,-0.01028828331576523,-0.017314760568417367,-0.003983402018158868,0.0004,0.001942857142857143,True
4,S1,numeric__S1,Semester GPA,-0.1332759745282675,0.1338989851746902,0.04350002634797353,-0.17677600087624104,-0.20436279639247468,-0.14954623798177077,0.0002,0.0011333333333333334,True
4,S2,numeric__S2,Semester GPA,-0.06870421473858039,0.07115059374030716,0.02315450772602844,-0.09185872246460883,-0.1056786884914845,-0.07785080092494548,0.0002,0.0011333333333333334,True
4,S3,numeric__S3,Semester GPA,-0.13864864016375228,0.1455565783562105,0.0518515451720228,-0.19050018533577506,-0.2173065351945096,-0.16375912678975404,0.0002,0.0011333333333333334,True
4,S4,numeric__S4,Semester GPA,-0.22664358137434173,0.23198059279271643,0.08014575851454077,-0.3067893398888825,-0.3666450017720954,-0.25390098251667365,0.0002,0.0011333333333333334,True
5,Zscore,numeric__Zscore,Pre-academic,-0.0048285154522894145,0.008531795833998672,0.0020954275678768362,-0.006923943020166251,-0.011799966914924112,-0.0027527542403943343,0.0008,0.0023333333333333335,True
5,English,numeric__English,Pre-academic,-0.013645594133763575,0.019961550148014925,0.005322479521015316,-0.018968073654778893,-0.02608703690372364,-0.011870909033052357,0.0002,0.0006363636363636364,True
5,S1,numeric__S1,Semester GPA,-0.0860966076338983,0.08643708428846854,0.02960053331083889,-0.1156971409447372,-0.13219066283043182,-0.0993062540013779,0.0002,0.0006363636363636364,True
5,S2,numeric__S2,Semester GPA,-0.08391560463034292,0.08774491132998004,0.02973400961570009,-0.11364961424604302,-0.12991427559784505,-0.09751624194770898,0.0002,0.0006363636363636364,True
5,S3,numeric__S3,Semester GPA,-0.14283543844012506,0.14867899486331,0.05156011918967614,-0.1943955576298012,-0.220655839604798,-0.16728605121495402,0.0002,0.0006363636363636364,True
5,S4,numeric__S4,Semester GPA,-0.12490207350243435,0.12809599548164774,0.04452334538363711,-0.16942541888607146,-0.20008147143508026,-0.1404620578177123,0.0002,0.0006363636363636364,True
5,S5,numeric__S5,Semester GPA,-0.14745371770394416,0.1514016434426504,0.050760704007368575,-0.19821442171131273,-0.2422640741236556,-0.15990673647005518,0.0002,0.0006363636363636364,True
5,Maths 2,numeric__Maths 2,Module grade,-0.007183012221782994,0.009091115583934386,0.0028748103087881858,-0.01005782253057118,-0.012966287373347407,-0.007212513794137015,0.0002,0.0006363636363636364,True
