semester,group,n_students,feature,raw_feature,family,mean_abs_shap,mean_shap
0,Underperforming,46,Zscore,numeric__Zscore,Pre-academic,0.04485192112231263,-0.02247606799900384
0,Underperforming,46,English,numeric__English,Pre-academic,0.20474868310923308,-0.15143957611172648
0,Underperforming,46,Missing: English,numeric__missingindicator_English,Pre-academic,0.006873354425798881,-0.0007110384478517225
0,Underperforming,46,Gender_M,categorical__Gender_M,Demographic,0.1026148282771691,-0.03659421535592922
0,Underperforming,46,Department_BPM,categorical__Department_BPM,Demographic,0.09448129052134555,-0.023445620458342392
0,Underperforming,46,Department_FSM,categorical__Department_FSM,Demographic,0.005688821840080769,-0.00023721731478138877
0,Underperforming,46,District_Badulla,categorical__District_Badulla,Demographic,0.02489784942024186,0.004283141568994783
0,Underperforming,46,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.0002610142046196183,0.0002610142046196183
0,Underperforming,46,District_Colombo,categorical__District_Colombo,Demographic,0.030743130189757276,-0.014792842345000907
0,Underperforming,46,District_Galle,categorical__District_Galle,Demographic,0.0054372369411785785,-0.0054372369411785785
0,Underperforming,46,District_Gampaha,categorical__District_Gampaha,Demographic,0.03595809881910039,-0.0006089384001371983
0,Underperforming,46,District_Kalutara,categorical__District_Kalutara,Demographic,0.02608250176967825,-0.004961377067622932
0,Underperforming,46,District_Kandy,categorical__District_Kandy,Demographic,0.009186714300149773,-0.009186714300149773
0,Underperforming,46,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.020360751915483144,0.0090204209355447
0,Underperforming,46,District_Matara,categorical__District_Matara,Demographic,0.01522087922893293,0.0018704075696235759
0,Underperforming,46,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.005680182139728212,0.0035993493514643315
0,Underperforming,46,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.05407233954389906,0.015148682970380092
0,Underperforming,46,MediumAL_S,categorical__MediumAL_S,Demographic,0.05022899602570994,0.0051886863743213245
0,Underperforming,46,MediumAL_T,categorical__MediumAL_T,Demographic,0.05210034008072369,-0.024418808316294827
0,Underperforming,46,District_Kegalle,categorical__District_Kegalle,Demographic,0.01928303149326848,-0.003730446441824313
0,Underperforming,46,District_Puttalam,categorical__District_Puttalam,Demographic,0.0021808752626666927,-0.0021808752626666927
0,Underperforming,46,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.0008817716098625632,-0.0008817716098625632
0,Average,43,Zscore,numeric__Zscore,Pre-academic,0.038194311782313445,0.0006636491058599801
0,Average,43,English,numeric__English,Pre-academic,0.09165953341538256,-0.0318314355075566
