semester,family,mean_abs_shap,mean_shap
0,Pre-academic,0.23436360151316402,0.011156873436572613
0,Demographic,0.13392978748687642,0.0485828804530659
1,Pre-academic,0.0587480831122913,-0.0009625136127578798
1,Semester GPA,0.287271064746756,0.10906929760131245
1,Demographic,0.06272965636721944,0.01819275994705102
2,Pre-academic,0.06458509345958928,0.0001856833746429157
2,Semester GPA,0.3387322440525426,0.2755625179886562
2,Module grade,0.015977527167884625,-0.014596506106791899
2,Demographic,0.052635468138544333,0.016721611487029376
3,Pre-academic,0.02074261481485861,0.0049787871420823625
3,Semester GPA,0.356964166364037,0.16611821670389043
3,Module grade,0.0488326517927336,-0.04655076832945206
3,Demographic,0.04622623528464203,0.012621562860344906
4,Pre-academic,0.0205853596109513,0.005159445403292636
4,Semester GPA,0.34717315505153096,0.0926573185026769
4,Module grade,0.037417529781356235,-0.03515753723578041
4,Demographic,0.024295144223394138,0.004978591310935928
5,Pre-academic,0.024804046977599727,0.0003066504082356796
5,Semester GPA,0.3514800385818282,0.09444329264165906
5,Module grade,0.014555409460195463,0.006773618407557294
5,Demographic,0.023366843158082674,-0.0007301062359413623
6,Pre-academic,0.022760719741472767,0.0015455433799275579
6,Semester GPA,0.35283234465336905,0.0013325655992615052
6,Module grade,0.012670908561699485,0.011738012892681983
6,Demographic,0.01408119979810288,-0.0004925798368575336
