feature,raw_feature,mean_abs_shap,mean_shap,semester,family
Zscore,numeric__Zscore,0.06969931889528783,0.02123254389325305,0,Pre-academic
English,numeric__English,0.18287303101318927,-0.010534486039105513,0,Pre-academic
Missing: English,numeric__missingindicator_English,0.000870665790271217,0.00045881558242508126,0,Pre-academic
Gender_M,categorical__Gender_M,0.09262628300602402,0.0037382804800637553,0,Demographic
Department_BPM,categorical__Department_BPM,0.09070116118330673,0.02223413678812579,0,Demographic
Department_FSM,categorical__Department_FSM,0.001774774254670933,0.00031598725294281925,0,Demographic
District_Badulla,categorical__District_Badulla,0.016956156534471495,-0.005606471112204286,0,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0013752048169036364,-0.0001910484789440598,0,Demographic
District_Colombo,categorical__District_Colombo,0.03636195719459727,-0.0059443549487067145,0,Demographic
District_Galle,categorical__District_Galle,0.01280986191688086,0.0020446846443043123,0,Demographic
District_Gampaha,categorical__District_Gampaha,0.05280191801422462,0.01879390302201214,0,Demographic
District_Kalutara,categorical__District_Kalutara,0.04415750247731631,0.0150781715776202,0,Demographic
District_Kandy,categorical__District_Kandy,0.01734005395972915,-0.0015185790636830002,0,Demographic
District_Kegalle,categorical__District_Kegalle,0.014089085809130123,0.003236681875070434,0,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.012124912799265435,-0.0010618559070639778,0,Demographic
District_Matara,categorical__District_Matara,0.011628156282071044,-0.0027079268054138062,0,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0043849451417646975,-0.001998202849411761,0,Demographic
District_Puttalam,categorical__District_Puttalam,0.006496666759304607,-0.0029605063713286843,0,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.0022175058945190502,-9.700524634503908e-05,0,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.03998561374810824,0.0014910550581185877,0,Demographic
MediumAL_S,categorical__MediumAL_S,0.052865634829501344,0.00279271657579387,0,Demographic
MediumAL_T,categorical__MediumAL_T,0.0334316948794212,0.0009432139621153298,0,Demographic
Zscore,numeric__Zscore,0.010723545833847284,0.003266719979725179,1,Pre-academic
English,numeric__English,0.05057815574530743,-0.0029135781948308025,1,Pre-academic
S1,numeric__S1,0.287271064746756,0.10906929760131245,1,Semester GPA
Missing: English,numeric__missingindicator_English,0.002496637408143254,-0.001315655397652255,1,Pre-academic
Gender_M,categorical__Gender_M,0.020056569301112503,0.000809457953856559,1,Demographic
Department_BPM,categorical__Department_BPM,0.023475755446667218,0.005754757171751109,1,Demographic
Department_FSM,categorical__Department_FSM,0.01143520380348274,0.0020359652092055832,1,Demographic
District_Badulla,categorical__District_Badulla,0.007022828041408492,-0.0023220641104657117,1,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0011193537331146632,-0.00015550471135885788,1,Demographic
District_Colombo,categorical__District_Colombo,0.003386823997807292,0.000553668876623499,1,Demographic
District_Galle,categorical__District_Galle,0.003428642909614656,-0.0005472731520121622,1,Demographic
District_Gampaha,categorical__District_Gampaha,0.026341164430286664,0.009375668695525762,1,Demographic
District_Kalutara,categorical__District_Kalutara,0.011965605149036636,0.004085816392353973,1,Demographic
District_Kandy,categorical__District_Kandy,0.0021041348209245975,0.0001842724995921745,1,Demographic
District_Kegalle,categorical__District_Kegalle,0.014288513727222365,0.0032824963967943285,1,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.005349821911808453,-0.00046851800856978265,1,Demographic
District_Matara,categorical__District_Matara,0.005151998074651515,-0.001199780373548984,1,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0035332483419049966,-0.001610087852007339,1,Demographic
District_Puttalam,categorical__District_Puttalam,0.003128818860951611,-0.0014257908733450388,1,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.0037104250781808635,-0.00016231329965948467,1,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.001359905809642382,-5.0710599287176254e-05,1,Demographic
MediumAL_S,categorical__MediumAL_S,0.004657321597676825,-0.0002460308907021128,1,Demographic
MediumAL_T,categorical__MediumAL_T,0.01058834094613244,0.0002987306223046769,1,Demographic
Zscore,numeric__Zscore,0.011350352786714611,0.0034576645448987056,2,Pre-academic
English,numeric__English,0.056567429618747035,-0.00325859310301362,2,Pre-academic
S1,numeric__S1,0.12385567374239735,0.04702475465438657,2,Semester GPA
S2,numeric__S2,0.2585230094882766,0.22853776333426956,2,Semester GPA
Maths 2,numeric__Maths 2,0.02631608942749807,-0.02593472229742146,2,Module grade
MgtAccounting,numeric__MgtAccounting,0.014235326705424958,0.011338216190629555,2,Module grade
Missing: English,numeric__missingindicator_English,2.5405702404435364e-05,-1.338806724217134e-05,2,Pre-academic
Gender_M,categorical__Gender_M,0.013477365042864058,0.0005439295308779222,2,Demographic
Department_BPM,categorical__Department_BPM,0.003991350788289397,0.000978424512304405,2,Demographic
Department_FSM,categorical__Department_FSM,0.027688628115155572,0.00492978389383136,2,Demographic
District_Badulla,categorical__District_Badulla,0.0034522441894187738,-0.0011414678368239506,2,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.00373346348697462,-0.0005186663918074877,2,Demographic
District_Colombo,categorical__District_Colombo,0.006779708539144857,0.0011083285146004994,2,Demographic
District_Galle,categorical__District_Galle,0.0012498211916781214,-0.00019949396920373837,2,Demographic
District_Gampaha,categorical__District_Gampaha,0.023902217789885938,0.008507569043857705,2,Demographic
District_Kalutara,categorical__District_Kalutara,0.010503512637438197,0.003586565290832555,2,Demographic
District_Kandy,categorical__District_Kandy,0.004528662205352027,0.0003966038183913177,2,Demographic
District_Kegalle,categorical__District_Kegalle,0.005251962136238777,0.0012065318421089091,2,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.001813756165612763,0.00015884218965651518,2,Demographic
District_Matara,categorical__District_Matara,0.005403186310295672,-0.0012582762640414571,2,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0012508963460145803,-0.0005700287146395557,2,Demographic
District_Puttalam,categorical__District_Puttalam,0.0022826615630144073,-0.001040200205930616,2,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.0001625660712612116,-7.111485849492744e-06,2,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.0018341896360802104,-6.839654260791423e-05,2,Demographic
MediumAL_S,categorical__MediumAL_S,0.002341995746268687,-0.00012371988650353624,2,Demographic
MediumAL_T,categorical__MediumAL_T,0.00823708146714735,0.00023239414797594373,2,Demographic
Zscore,numeric__Zscore,0.019026419543162382,0.005796029207811311,3,Pre-academic
English,numeric__English,0.002946025153886587,-0.00016970714972309724,3,Pre-academic
S1,numeric__S1,0.09113970136363025,0.03460335700738821,3,Semester GPA
S2,numeric__S2,0.16020032388892325,0.1416192074332955,3,Semester GPA
S3,numeric__S3,0.17726077984421826,-0.010104347736793319,3,Semester GPA
Maths 2,numeric__Maths 2,0.04002820537414778,-0.039448125197428796,3,Module grade
MgtAccounting,numeric__MgtAccounting,0.002652238462317477,-0.002112466661084667,3,Module grade
StatsII,numeric__StatsII,0.017460516733071463,-0.0029416312196635526,3,Module grade
MIS,numeric__MIS,0.015106084386534723,-0.006478728887335593,3,Module grade
Missing: English,numeric__missingindicator_English,0.0012287867303733071,-0.0006475349160058508,3,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.0022150918180302882,0.0022150918180302882,3,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.002215091818030254,0.002215091818030254,3,Module grade
Gender_M,categorical__Gender_M,0.008193184844385202,0.000330666652912408,3,Demographic
Department_BPM,categorical__Department_BPM,0.011748956528564098,0.0028800944019437284,3,Demographic
Department_FSM,categorical__Department_FSM,0.021801284494332898,0.003881579857189462,3,Demographic
District_Badulla,categorical__District_Badulla,0.0014812008168553,-0.0004897518829924786,3,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0014274181922980516,-0.0001983021518711936,3,Demographic
District_Colombo,categorical__District_Colombo,0.011443770317579618,0.001870796787838331,3,Demographic
District_Galle,categorical__District_Galle,0.00382512373201023,-0.0006105586311667077,3,Demographic
District_Gampaha,categorical__District_Gampaha,0.005597676840152688,0.001992393451579771,3,Demographic
District_Kalutara,categorical__District_Kalutara,0.009447333285406407,0.0032259186828216993,3,Demographic
District_Kandy,categorical__District_Kandy,0.007392965096008366,0.0006474490817278191,3,Demographic
District_Kegalle,categorical__District_Kegalle,0.002519812767442262,0.0005788759060340335,3,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0016604167783469935,-0.00014541328201409494,3,Demographic
District_Matara,categorical__District_Matara,0.0009020189233063085,-0.0002100592013179074,3,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.000548661435555087,0.0002500229326580142,3,Demographic
District_Puttalam,categorical__District_Puttalam,0.0024503215391134094,-0.0011166022203554775,3,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.006923722129326476,0.0003028796326719942,3,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.013288248636113734,-0.0004955159740008293,3,Demographic
MediumAL_S,categorical__MediumAL_S,0.002873291632321543,-0.00015178649030799676,3,Demographic
MediumAL_T,categorical__MediumAL_T,0.0027956914367990985,7.887530699433197e-05,3,Demographic
Zscore,numeric__Zscore,0.018714780408305112,0.005701094397621081,4,Pre-academic
English,numeric__English,0.003334530656064335,-0.00019208718994079328,4,Pre-academic
S1,numeric__S1,0.09356020274350656,0.035522357971090726,4,Semester GPA
S2,numeric__S2,0.05774620484643917,0.051048409666785304,4,Semester GPA
S3,numeric__S3,0.10205683725574081,-0.005817517972422279,4,Semester GPA
S4,numeric__S4,0.14826966888371326,0.011904068837223176,4,Semester GPA
Maths 2,numeric__Maths 2,0.021383030309942562,-0.021073152015748792,4,Module grade
MgtAccounting,numeric__MgtAccounting,0.00810519801115108,-0.006455664082740716,4,Module grade
StatsII,numeric__StatsII,0.01648408100605105,-0.0027771278511488206,4,Module grade
MIS,numeric__MIS,0.015455738642638757,-0.0066286893318582155,4,Module grade
DataV,numeric__DataV,0.0037149795795567045,-0.002605022053838281,4,Module grade
Missing: English,numeric__missingindicator_English,0.0006633416917907431,-0.00034956180438765297,4,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.0014607060331847793,0.0014607060331847793,4,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.0014607060331848173,0.0014607060331848173,4,Module grade
Missing: DataV,numeric__missingindicator_DataV,0.0014607060331848125,0.0014607060331848125,4,Module grade
Gender_M,categorical__Gender_M,0.00046605841642836243,-1.880953250159314e-05,4,Demographic
Department_BPM,categorical__Department_BPM,0.007164847311584879,0.0017563633487542687,4,Demographic
Department_FSM,categorical__Department_FSM,0.01043777266196639,0.001858378946852565,4,Demographic
District_Badulla,categorical__District_Badulla,0.0014505737818762685,-0.0004796252020719919,4,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.00022745097037613448,3.159832003973833e-05,4,Demographic
District_Colombo,categorical__District_Colombo,0.004898727874264771,0.0008008308553336064,4,Demographic
District_Galle,categorical__District_Galle,0.0028653450085116008,-0.0004573606630229977,4,Demographic
District_Gampaha,categorical__District_Gampaha,0.004593664168639214,0.0016350330091766696,4,Demographic
District_Kalutara,categorical__District_Kalutara,0.004149022486850888,0.0014167393857539622,4,Demographic
District_Kandy,categorical__District_Kandy,0.00031636866155301515,2.770642046187305e-05,4,Demographic
District_Kegalle,categorical__District_Kegalle,0.0010521916565619563,0.00024171970488585468,4,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0008841953814647093,7.743462607532097e-05,4,Demographic
District_Matara,categorical__District_Matara,0.000798047543537989,-0.00018584668822117564,4,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0003568834001585346,-0.0001626304101988259,4,Demographic
District_Puttalam,categorical__District_Puttalam,0.0018511243665433608,-0.0008435503442476077,4,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.0029715146898040075,0.0001299895144426929,4,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.007305316869386505,-0.0002724137170402473,4,Demographic
MediumAL_S,categorical__MediumAL_S,0.010164069340941375,-0.0005369341542480629,4,Demographic
MediumAL_T,categorical__MediumAL_T,0.001418915873656841,-4.0032109288123885e-05,4,Demographic
Zscore,numeric__Zscore,0.007471496729858159,0.0022760463772011864,5,Pre-academic
English,numeric__English,0.018950095749762925,-0.0010916290828098779,5,Pre-academic
S1,numeric__S1,0.06016747826660856,0.022844015281407958,5,Semester GPA
S2,numeric__S2,0.06281717758064191,0.05553121670550003,5,Semester GPA
S3,numeric__S3,0.10258072390240146,-0.005847380939612054,5,Semester GPA
S4,numeric__S4,0.08075131778489762,0.006483249425489856,5,Semester GPA
S5,numeric__S5,0.09592769603631796,0.015432192168873283,5,Semester GPA
Maths 2,numeric__Maths 2,0.016435346313965298,0.016197168796259244,5,Module grade
MgtAccounting,numeric__MgtAccounting,0.0068265531569158796,-0.005437243354621435,5,Module grade
StatsII,numeric__StatsII,0.01975860282182759,-0.0033287974122513924,5,Module grade
MIS,numeric__MIS,0.0064511705326505825,-0.002766791434335365,5,Module grade
DataV,numeric__DataV,0.0038196627222636154,-0.0026784280819406336,5,Module grade
Missing: English,numeric__missingindicator_English,0.0016656836186102854,-0.0008777668861556279,5,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.0015959032981489483,0.0015959032981489483,5,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.0015959032981489698,0.0015959032981489698,5,Module grade
Missing: DataV,numeric__missingindicator_DataV,0.0015959032981489613,0.0015959032981489613,5,Module grade
Gender_M,categorical__Gender_M,0.004927397365135476,-0.00019886357079022094,5,Demographic
Department_BPM,categorical__Department_BPM,0.006268048843150541,-0.0015365255919007163,5,Demographic
Department_FSM,categorical__Department_FSM,0.009090594788271825,0.0016185225062862571,5,Demographic
District_Badulla,categorical__District_Badulla,0.001115087568139729,-0.0003686983088203943,5,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0021796846327705975,-0.00030280975499065834,5,Demographic
District_Colombo,categorical__District_Colombo,0.008205130560225003,0.0013413526722292383,5,Demographic
District_Galle,categorical__District_Galle,0.0014902139998164293,-0.00023786499042090342,5,Demographic
District_Gampaha,categorical__District_Gampaha,0.0021368988915714073,-0.0007605911308982974,5,Demographic
District_Kalutara,categorical__District_Kalutara,0.0014618102874798277,0.0004991547323101851,5,Demographic
District_Kandy,categorical__District_Kandy,0.0016775159478102297,0.0001469107652868429,5,Demographic
