feature,raw_feature,mean_abs_shap,mean_shap,semester,family
Zscore,numeric__Zscore,0.03984630310387072,0.0016732547303573541,0,Pre-academic
English,numeric__English,0.15616200303694042,-0.0020559145949532115,0,Pre-academic
Missing: English,numeric__missingindicator_English,0.005008086718195477,-0.00024170241927972365,0,Pre-academic
Gender_M,categorical__Gender_M,0.09489227892011334,-0.00022124189971728318,0,Demographic
Department_BPM,categorical__Department_BPM,0.09193882106030901,-0.00026674770131856254,0,Demographic
Department_FSM,categorical__Department_FSM,0.007999512890393747,8.224157341626713e-05,0,Demographic
District_Badulla,categorical__District_Badulla,0.02057042514796961,-0.0005393551459026938,0,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.00027133680028254103,0.00027133680028254103,0,Demographic
District_Colombo,categorical__District_Colombo,0.03869067308975118,-0.00015291404530790988,0,Demographic
District_Galle,categorical__District_Galle,0.010539666899920183,0.00011331342138198926,0,Demographic
District_Gampaha,categorical__District_Gampaha,0.03720987932350209,0.0012137170854915327,0,Demographic
District_Kalutara,categorical__District_Kalutara,0.029383048422230933,-0.0016743199318347674,0,Demographic
District_Kandy,categorical__District_Kandy,0.01800744012059237,0.0006655559526008068,0,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.013204553663606976,0.0013821778402047684,0,Demographic
District_Matara,categorical__District_Matara,0.01394985550461893,0.0003757850506538218,0,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.006689880343974365,-0.0013815271209322178,0,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.045197627203466734,0.0005887639573468979,0,Demographic
MediumAL_S,categorical__MediumAL_S,0.04751497055156125,0.0008978739253668958,0,Demographic
MediumAL_T,categorical__MediumAL_T,0.036914585199708305,-0.004968319119086947,0,Demographic
District_Kegalle,categorical__District_Kegalle,0.012639694482760465,0.0032353657465016253,0,Demographic
District_Puttalam,categorical__District_Puttalam,0.0021183951529166367,-0.0021183951529166367,0,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0008911816019326595,-0.0008911816019326595,0,Demographic
Zscore,numeric__Zscore,0.009358637110157365,0.0005867722185213804,1,Pre-academic
English,numeric__English,0.04185858342784911,0.0006774984168877612,1,Pre-academic
S1,numeric__S1,0.2801093848342296,-0.000982324629298646,1,Semester GPA
Missing: English,numeric__missingindicator_English,0.0043768656754860375,1.8406884474726196e-05,1,Pre-academic
Gender_M,categorical__Gender_M,0.020524178542122577,-0.0006678442440372746,1,Demographic
Department_BPM,categorical__Department_BPM,0.024022295221566993,-0.00017022506442925837,1,Demographic
Department_FSM,categorical__Department_FSM,0.012551714442561965,0.0009117489502782312,1,Demographic
District_Badulla,categorical__District_Badulla,0.00967844021744692,0.0007028797721512264,1,Demographic
