semester,feature,raw_feature,family,underperforming_mean_shap,underperforming_mean_abs_shap,other_students_mean_shap,difference_under_minus_other,difference_ci_lower,difference_ci_upper,bootstrap_p,q_value,consistent_negative_signal
0,Zscore,numeric__Zscore,Pre-academic,-0.02247606799900384,0.04485192112231263,0.010153169581888768,-0.03262923758089261,-0.054267587980573975,-0.012173685485390539,0.0004,0.0029333333333333334,True
0,English,numeric__English,Pre-academic,-0.15143957611172648,0.20474868310923308,0.05039941693002062,-0.2018389930417471,-0.2695702748335676,-0.1358033380208052,0.0002,0.0022,True
0,Gender_M,categorical__Gender_M,Demographic,-0.03659421535592922,0.1026148282771691,0.012550947252845689,-0.04914516260877491,-0.08176553184737001,-0.01654104761181887,0.0012,0.005279999999999999,True
0,District_Colombo,categorical__District_Colombo,Demographic,-0.014792842345000907,0.030743130189757276,0.004987824136263677,-0.019780666481264583,-0.0320412343416197,-0.00676156128552139,0.004,0.01257142857142857,True
0,District_Galle,categorical__District_Galle,Demographic,-0.0054372369411785785,0.0054372369411785785,0.0020623616402963875,-0.007499598581474966,-0.013054527465935247,-0.0022428229968628212,0.0008,0.0044,True
0,District_Kandy,categorical__District_Kandy,Demographic,-0.009186714300149773,0.009186714300149773,0.004125131766543759,-0.013311846066693531,-0.02241457333726563,-0.0054597508666476115,0.0002,0.0022,True
1,English,numeric__English,Pre-academic,-0.03912630994950448,0.05395634712155325,0.014654408224933892,-0.05378071817443837,-0.07166606695989826,-0.03565083003802245,0.0002,0.0023,True
1,S1,numeric__S1,Semester GPA,-0.3892523417209317,0.39079397622190803,0.13535676534180913,-0.5246091070627408,-0.5969050702252057,-0.45009318498431167,0.0002,0.0023,True
1,Gender_M,categorical__Gender_M,Demographic,-0.008749347424258444,0.02218928755076672,0.0021699354986358084,-0.010919282922894253,-0.018708320925043334,-0.0028092649000119037,0.0056,0.021028571428571428,True
2,Zscore,numeric__Zscore,Pre-academic,-0.008631979401520018,0.012710141503488493,0.0021493393223189212,-0.01078131872383894,-0.01845946866623991,-0.00406441518938308,0.0012,0.004457142857142857,True
2,English,numeric__English,Pre-academic,-0.04425083538331343,0.060394292068246654,0.017055514186239448,-0.06130634956955288,-0.08197019397394663,-0.0416022259275553,0.0002,0.0008666666666666667,True
2,S1,numeric__S1,Semester GPA,-0.16894922238180052,0.16980236683646693,0.05793780768810341,-0.22688703006990393,-0.25837665328288967,-0.19407761645102423,0.0002,0.0008666666666666667,True
2,S2,numeric__S2,Semester GPA,-0.29763685415822855,0.3108098872820095,0.10644739478136037,-0.40408424893958894,-0.4629028596146611,-0.34376857286690987,0.0002,0.0008666666666666667,True
2,MgtAccounting,numeric__MgtAccounting,Module grade,-0.01488567533678975,0.019026425345215058,0.004814404568796892,-0.019700079905586643,-0.026785240431166934,-0.013509681836437535,0.0002,0.0008666666666666667,True
2,Gender_M,categorical__Gender_M,Demographic,-0.00560145868674468,0.017010122521047027,0.0016374320122839348,-0.007238890699028615,-0.012845060639633187,-0.0014552285742066204,0.0136,0.03214545454545454,True
3,Zscore,numeric__Zscore,Pre-academic,-0.012575609158540836,0.01898267681640916,0.0030356739955842526,-0.01561128315412509,-0.025913961945739687,-0.00637729061016902,0.0002,0.0012400000000000002,True
3,S1,numeric__S1,Semester GPA,-0.1251612742451887,0.12586042800013333,0.04036189287648942,-0.1655231671216781,-0.19183287447836425,-0.13898044537287638,0.0002,0.0012400000000000002,True
3,S2,numeric__S2,Semester GPA,-0.17517361997240838,0.18246113631205094,0.06396035442422612,-0.2391339743966345,-0.2759746103370375,-0.20258308126846172,0.0002,0.0012400000000000002,True
3,S3,numeric__S3,Semester GPA,-0.24288075792015212,0.25417039715347567,0.08918193894538053,-0.33206269686553264,-0.37622229249768047,-0.28666445556177733,0.0002,0.0012400000000000002,True
4,Zscore,numeric__Zscore,Pre-academic,-0.00785802659663283,0.014586620854457466,0.003034781260949116,-0.010892807857581947,-0.018309774382113314,-0.004239985115718338,0.0004,0.0017000000000000001,True
4,S1,numeric__S1,Semester GPA,-0.12748891742697407,0.12809799527680435,0.04126150952511521,-0.16875042695208928,-0.1953465772717487,-0.1425791748867429,0.0002,0.0009714285714285715,True
4,S2,numeric__S2,Semester GPA,-0.0663453303304966,0.06867887620438076,0.022232376164012684,-0.08857770649450927,-0.10219141880955686,-0.07484109060919898,0.0002,0.0009714285714285715,True
4,S3,numeric__S3,Semester GPA,-0.1396598140153492,0.14675052464959434,0.05242456617548378,-0.19208438019083296,-0.2191657021715149,-0.16480648169237816,0.0002,0.0009714285714285715,True
4,S4,numeric__S4,Semester GPA,-0.23142198664241914,0.2368735513239991,0.0819449599986655,-0.31336694664108466,-0.3737946476145617,-0.2596677679138986,0.0002,0.0009714285714285715,True
4,MIS,numeric__MIS,Module grade,-0.005337031499897229,0.015193472319235414,0.0021481300856217183,-0.007485161585518948,-0.014382455797566276,-0.0013125332624815947,0.0168,0.04393846153846153,True
4,DataV,numeric__DataV,Module grade,-0.002162118053800445,0.004126706061886991,0.0005779502252558253,-0.0027400682790562703,-0.004869590616628049,-0.0008943561480582307,0.002,0.0068000000000000005,True
5,Zscore,numeric__Zscore,Pre-academic,-0.005360690665630066,0.008666826194674711,0.0018721929098709648,-0.007232883575501031,-0.012385885973541138,-0.0028689260028817607,0.0004,0.0012727272727272728,True
5,English,numeric__English,Pre-academic,-0.014140408578307069,0.020826295593538068,0.005698749446505321,-0.01983915802481239,-0.027321926378536174,-0.012420134988586273,0.0002,0.0007,True
5,S1,numeric__S1,Semester GPA,-0.07976125809254644,0.08008067152830922,0.027391428915851394,-0.10715268700839783,-0.1222899958369354,-0.09198612641558038,0.0002,0.0007,True
5,S2,numeric__S2,Semester GPA,-0.07395945963375813,0.0771755050879145,0.02564051180528398,-0.09959997143904212,-0.1139166963122224,-0.0854082029450011,0.0002,0.0007,True
5,S3,numeric__S3,Semester GPA,-0.14412028819174846,0.15011613562000842,0.05207573223712316,-0.19619602042887163,-0.22273600936969515,-0.1689238772225017,0.0002,0.0007,True
5,S4,numeric__S4,Semester GPA,-0.13132089648927664,0.13468872693620518,0.04681121401613149,-0.17813211050540811,-0.21071245838883962,-0.1473099032896353,0.0002,0.0007,True
5,S5,numeric__S5,Semester GPA,-0.14181122041257663,0.14560138319305746,0.04865674562296364,-0.19046796603554028,-0.2321297884137593,-0.15377661722713537,0.0002,0.0007,True
5,Maths 2,numeric__Maths 2,Module grade,-0.00947469254731516,0.011679565877097564,0.003755271476396336,-0.013229964023711497,-0.01690093474771502,-0.009765236768203596,0.0002,0.0007,True
